mode tones

major 1,3,5,6,8,10,12
mixolydian 1,3,5,6,8,10,11
lydian 1,3,5,7,8,10,12
minor 1,3,4,6,8,9,11
dorian 1,3,4,6,8,10,11
locrian 1,2,4,6,7,9,11

